name,2022-01-01,fecha,ET,prop
Agricultura de secano,113811243.75,2000-01-01,262854937.5,NA
Agricultura de secano,113811243.75,2001-01-01,282134284.375,NA
Agricultura de secano,113811243.75,2002-01-01,284870862.5,NA
Agricultura de secano,113811243.75,2003-01-01,260972193.75,NA
Agricultura de secano,113811243.75,2004-01-01,289273678.125,NA
Agricultura de secano,113811243.75,2005-01-01,306195587.5,NA
Agricultura de secano,113811243.75,2006-01-01,302570546.875,NA
Agricultura de secano,113811243.75,2007-01-01,279654718.75,NA
Agricultura de secano,113811243.75,2008-01-01,308144559.375,NA
Agricultura de secano,113811243.75,2009-01-01,286183112.5,NA
Agricultura de secano,113811243.75,2010-01-01,297466568.75,NA
Agricultura de secano,113811243.75,2011-01-01,295662381.25,NA
Agricultura de secano,113811243.75,2012-01-01,302067393.75,NA
Agricultura de secano,113811243.75,2013-01-01,295724659.375,NA
Agricultura de secano,113811243.75,2014-01-01,292416400,NA
Agricultura de secano,113811243.75,2015-01-01,295532856.25,NA
Agricultura de secano,113811243.75,2016-01-01,151268990.625,NA
Agricultura de secano,113811243.75,2017-01-01,146281196.875,NA
Agricultura de secano,113811243.75,2018-01-01,137071950,NA
Agricultura de secano,113811243.75,2019-01-01,125174650,NA
Agricultura de secano,113811243.75,2020-01-01,111245746.875,NA
Agricultura de secano,113811243.75,2021-01-01,131682606.25,NA
Pastizales,10459800,2000-01-01,42095937.5,NA
Pastizales,10459800,2001-01-01,43853318.75,NA
Pastizales,10459800,2002-01-01,46205246.875,NA
Pastizales,10459800,2003-01-01,35434581.25,NA
Pastizales,10459800,2004-01-01,43555703.125,NA
Pastizales,10459800,2005-01-01,47483125,NA
Pastizales,10459800,2006-01-01,41921590.625,NA
Pastizales,10459800,2007-01-01,38530490.625,NA
Pastizales,10459800,2008-01-01,46024487.5,NA
Pastizales,10459800,2009-01-01,39230431.25,NA
Pastizales,10459800,2010-01-01,40297025,NA
Pastizales,10459800,2011-01-01,39508831.25,NA
Pastizales,10459800,2012-01-01,41983987.5,NA
Pastizales,10459800,2013-01-01,37989150,NA
Pastizales,10459800,2014-01-01,38973550,NA
Pastizales,10459800,2015-01-01,41546228.125,NA
Pastizales,10459800,2016-01-01,16154203.125,NA
Pastizales,10459800,2017-01-01,13824846.875,NA
Pastizales,10459800,2018-01-01,11452506.25,NA
Pastizales,10459800,2019-01-01,10265909.375,NA
Pastizales,10459800,2020-01-01,8204206.25,NA
Pastizales,10459800,2021-01-01,12853568.75,NA
Suelo Desnudo,353142493.75,2000-01-01,1472096618.75,NA
Suelo Desnudo,353142493.75,2001-01-01,1539075890.625,NA
Suelo Desnudo,353142493.75,2002-01-01,1629877575,NA
Suelo Desnudo,353142493.75,2003-01-01,1222943475,NA
Suelo Desnudo,353142493.75,2004-01-01,1484836034.375,NA
Suelo Desnudo,353142493.75,2005-01-01,1645749081.25,NA
Suelo Desnudo,353142493.75,2006-01-01,1512859459.375,NA
Suelo Desnudo,353142493.75,2007-01-01,1358204890.625,NA
Suelo Desnudo,353142493.75,2008-01-01,1555676737.5,NA
Suelo Desnudo,353142493.75,2009-01-01,1382123690.625,NA
Suelo Desnudo,353142493.75,2010-01-01,1376604334.375,NA
Suelo Desnudo,353142493.75,2011-01-01,1307041365.625,NA
Suelo Desnudo,353142493.75,2012-01-01,1355420428.125,NA
Suelo Desnudo,353142493.75,2013-01-01,1258465528.125,NA
Suelo Desnudo,353142493.75,2014-01-01,1248692884.375,NA
Suelo Desnudo,353142493.75,2015-01-01,1375444109.375,NA
Suelo Desnudo,353142493.75,2016-01-01,583021934.375,NA
Suelo Desnudo,353142493.75,2017-01-01,512822271.875,NA
Suelo Desnudo,353142493.75,2018-01-01,450350037.5,NA
Suelo Desnudo,353142493.75,2019-01-01,391990062.5,NA
Suelo Desnudo,353142493.75,2020-01-01,290688296.875,NA
Suelo Desnudo,353142493.75,2021-01-01,445109100,NA
Plantaciones Forestales Bajas,NA,2000-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2001-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2002-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2003-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2004-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2005-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2006-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2007-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2008-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2009-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2010-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2011-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2012-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2013-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2014-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2015-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2016-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2017-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2018-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2019-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2020-01-01,NA,NA
Plantaciones Forestales Bajas,NA,2021-01-01,NA,NA
